state,district,month,total_demographic,year,month_num,lag_1,diff_1,diff_2,rolling_3,trend_diff
Maharashtra,Beed,2025-11-01,50885,2025,11,23602.0,16042.0,11575.0,11418.333333333334,16042.0
Maharashtra,Beed,2025-12-01,17128,2025,12,50885.0,27283.0,11241.0,27349.0,27283.0
Bihar,Begusarai,2025-12-01,21447,2025,12,17206.0,6729.0,21402.0,17611.0,6729.0
Karnataka,Belagavi,2025-07-01,798,2025,7,817.0,-594.0,-1146.0,1029.0,-594.0
Karnataka,Belagavi,2025-09-01,5544,2025,9,798.0,-19.0,575.0,1008.6666666666666,-19.0
Karnataka,Belagavi,2025-10-01,3887,2025,10,5544.0,4746.0,4765.0,2386.3333333333335,4746.0
Karnataka,Belagavi,2025-11-01,6132,2025,11,3887.0,-1657.0,-6403.0,3409.6666666666665,-1657.0
Karnataka,Belagavi,2025-12-01,8249,2025,12,6132.0,2245.0,3902.0,5187.666666666667,2245.0
Karnataka,Belgaum,2025-12-01,11621,2025,12,8625.0,2687.0,5238.0,7684.0,2687.0
Karnataka,Bellary,2025-12-01,5265,2025,12,3772.0,986.0,2440.0,3599.3333333333335,986.0
Chhattisgarh,Bemetara,2025-10-01,3561,2025,10,6261.0,272.0,-3975.0,4664.0,272.0
Chhattisgarh,Bemetara,2025-11-01,6466,2025,11,3561.0,-2700.0,-2972.0,5270.333333333333,-2700.0
Chhattisgarh,Bemetara,2025-12-01,8345,2025,12,6466.0,2905.0,5605.0,5429.333333333333,2905.0
Karnataka,Bengaluru,2025-07-01,18657,2025,7,14820.0,-6129.0,-12860.0,16662.333333333332,-6129.0
Karnataka,Bengaluru,2025-09-01,22401,2025,9,18657.0,3837.0,9966.0,18142.0,3837.0
Karnataka,Bengaluru,2025-10-01,17634,2025,10,22401.0,3744.0,-93.0,18626.0,3744.0
Karnataka,Bengaluru,2025-11-01,28411,2025,11,17634.0,-4767.0,-8511.0,19564.0,-4767.0
Karnataka,Bengaluru,2025-12-01,38161,2025,12,28411.0,10777.0,15544.0,22815.333333333332,10777.0
Madhya Pradesh,Betul,2025-07-01,2287,2025,7,2966.0,2264.0,3612.0,1906.0,2264.0
Madhya Pradesh,Betul,2025-09-01,4748,2025,9,2287.0,-679.0,-2943.0,1985.0,-679.0
Madhya Pradesh,Betul,2025-10-01,2336,2025,10,4748.0,2461.0,3140.0,3333.6666666666665,2461.0
Madhya Pradesh,Betul,2025-11-01,5022,2025,11,2336.0,-2412.0,-4873.0,3123.6666666666665,-2412.0
Madhya Pradesh,Betul,2025-12-01,5905,2025,12,5022.0,2686.0,5098.0,4035.3333333333335,2686.0
Uttar Pradesh,Bhadohi,2025-12-01,1691,2025,12,1032.0,425.0,971.0,930.6666666666666,425.0
Telangana,Bhadradri Kothagudem,2025-12-01,4738,2025,12,4823.0,322.0,1042.0,4848.333333333333,322.0
Odisha,Bhadrak,2025-12-01,6140,2025,12,5904.0,2189.0,4566.0,5237.0,2189.0
Bihar,Bhagalpur,2025-11-01,19034,2025,11,12922.0,-13889.0,-38049.0,14128.0,-13889.0
Bihar,Bhagalpur,2025-12-01,21343,2025,12,19034.0,6112.0,20001.0,19589.0,6112.0
