state_clean,district_clean,date,total_demographic
Andhra Pradesh,Prakasam,2025-06,2402
Andhra Pradesh,Prakasam,2025-07,642
Andhra Pradesh,Prakasam,2025-09,13317
Andhra Pradesh,Prakasam,2025-10,10761
Andhra Pradesh,Prakasam,2025-11,18602
Andhra Pradesh,Prakasam,2025-12,18766
Andhra Pradesh,Rangareddi,2025-03,2746
Andhra Pradesh,Rangareddi,2025-09,2818
Andhra Pradesh,Rangareddi,2025-10,2521
Andhra Pradesh,Rangareddi,2025-11,4474
Andhra Pradesh,Rangareddi,2025-12,4380
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,2310
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,2405
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07,1226
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,2269
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,1524
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,2912
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,3673
Andhra Pradesh,Sri Sathya Sai,2025-03,2345
Andhra Pradesh,Sri Sathya Sai,2025-04,526
Andhra Pradesh,Sri Sathya Sai,2025-05,1335
Andhra Pradesh,Sri Sathya Sai,2025-06,1301
Andhra Pradesh,Sri Sathya Sai,2025-07,782
Andhra Pradesh,Sri Sathya Sai,2025-09,1685
Andhra Pradesh,Sri Sathya Sai,2025-10,1608
Andhra Pradesh,Sri Sathya Sai,2025-11,2719
Andhra Pradesh,Sri Sathya Sai,2025-12,3815
Andhra Pradesh,Srikakulam,2025-03,28607
Andhra Pradesh,Srikakulam,2025-04,2672
Andhra Pradesh,Srikakulam,2025-05,6969
Andhra Pradesh,Srikakulam,2025-06,5995
Andhra Pradesh,Srikakulam,2025-07,2788
Andhra Pradesh,Srikakulam,2025-09,10597
Andhra Pradesh,Srikakulam,2025-10,8464
Andhra Pradesh,Srikakulam,2025-11,14154
Andhra Pradesh,Srikakulam,2025-12,14695
Andhra Pradesh,Tirupati,2025-03,3920
Andhra Pradesh,Tirupati,2025-05,3151
Andhra Pradesh,Tirupati,2025-06,1958
Andhra Pradesh,Tirupati,2025-07,2460
Andhra Pradesh,Tirupati,2025-09,2523
Andhra Pradesh,Tirupati,2025-10,1636
Andhra Pradesh,Tirupati,2025-11,3136
Andhra Pradesh,Tirupati,2025-12,4570
Andhra Pradesh,Vellore,2025-03,11787
Andhra Pradesh,Vellore,2025-09,8696
Andhra Pradesh,Vellore,2025-10,6758
Andhra Pradesh,Vellore,2025-11,12047
Andhra Pradesh,Vellore,2025-12,11099
Andhra Pradesh,Visakhapatnam,2025-03,30520
Andhra Pradesh,Visakhapatnam,2025-04,5367
Andhra Pradesh,Visakhapatnam,2025-05,7116
Andhra Pradesh,Visakhapatnam,2025-06,6959
Andhra Pradesh,Visakhapatnam,2025-07,2404
Andhra Pradesh,Visakhapatnam,2025-09,13634
Andhra Pradesh,Visakhapatnam,2025-10,9657
Andhra Pradesh,Visakhapatnam,2025-11,17687
Andhra Pradesh,Visakhapatnam,2025-12,20161
Andhra Pradesh,Vizianagaram,2025-03,17589
Andhra Pradesh,Vizianagaram,2025-05,2843
Andhra Pradesh,Vizianagaram,2025-06,2105
Andhra Pradesh,Vizianagaram,2025-07,718
Andhra Pradesh,Vizianagaram,2025-09,7224
Andhra Pradesh,Vizianagaram,2025-10,5982
Andhra Pradesh,Vizianagaram,2025-11,9814
Andhra Pradesh,Vizianagaram,2025-12,11231
Andhra Pradesh,Warangal,2025-03,4702
Andhra Pradesh,Warangal,2025-09,4463
Andhra Pradesh,Warangal,2025-10,3754
Andhra Pradesh,Warangal,2025-11,6490
Andhra Pradesh,Warangal,2025-12,6256
Andhra Pradesh,Y. S. R,2025-03,1754
Andhra Pradesh,Y. S. R,2025-04,1099
Andhra Pradesh,Y. S. R,2025-05,1777
Andhra Pradesh,Y. S. R,2025-06,2327
Andhra Pradesh,Y. S. R,2025-07,2554
Andhra Pradesh,Y. S. R,2025-09,2103
Andhra Pradesh,Y. S. R,2025-10,1552
Andhra Pradesh,Y. S. R,2025-11,2713
Andhra Pradesh,Y. S. R,2025-12,3354
Arunachal Pradesh,Anjaw,2025-03,117
Arunachal Pradesh,Anjaw,2025-09,179
Arunachal Pradesh,Anjaw,2025-10,59
Arunachal Pradesh,Anjaw,2025-11,103
Arunachal Pradesh,Anjaw,2025-12,99
Arunachal Pradesh,Changlang,2025-03,980
Arunachal Pradesh,Changlang,2025-09,1983
Arunachal Pradesh,Changlang,2025-10,472
Arunachal Pradesh,Changlang,2025-11,651
Arunachal Pradesh,Changlang,2025-12,560
Arunachal Pradesh,Dibang Valley,2025-09,29
Arunachal Pradesh,Dibang Valley,2025-10,19
Arunachal Pradesh,Dibang Valley,2025-11,33
Arunachal Pradesh,Dibang Valley,2025-12,38
Arunachal Pradesh,Kamle,2025-09,142
Arunachal Pradesh,Kamle,2025-10,14
Arunachal Pradesh,Kamle,2025-11,47
Arunachal Pradesh,Kamle,2025-12,7
Arunachal Pradesh,Kra Daadi,2025-03,131
Arunachal Pradesh,Kra Daadi,2025-09,111
Arunachal Pradesh,Kra Daadi,2025-10,59
Arunachal Pradesh,Kra Daadi,2025-11,68
Arunachal Pradesh,Kra Daadi,2025-12,59
Arunachal Pradesh,Kurung Kumey,2025-09,120
Arunachal Pradesh,Kurung Kumey,2025-10,52
Arunachal Pradesh,Kurung Kumey,2025-11,72
Arunachal Pradesh,Kurung Kumey,2025-12,34
Arunachal Pradesh,Leparada,2025-09,6
Arunachal Pradesh,Leparada,2025-10,2
Arunachal Pradesh,Leparada,2025-11,7
Arunachal Pradesh,Leparada,2025-12,4
Arunachal Pradesh,Lohit,2025-03,264
Arunachal Pradesh,Lohit,2025-09,391
Arunachal Pradesh,Lohit,2025-10,180
Arunachal Pradesh,Lohit,2025-11,291
Arunachal Pradesh,Lohit,2025-12,358
Arunachal Pradesh,Longding,2025-03,330
Arunachal Pradesh,Longding,2025-09,397
Arunachal Pradesh,Longding,2025-10,124
Arunachal Pradesh,Longding,2025-11,180
Arunachal Pradesh,Longding,2025-12,178
Arunachal Pradesh,Lower Dibang Valley,2025-03,285
Arunachal Pradesh,Lower Dibang Valley,2025-09,197
Arunachal Pradesh,Lower Dibang Valley,2025-10,136
Arunachal Pradesh,Lower Dibang Valley,2025-11,170
Arunachal Pradesh,Lower Dibang Valley,2025-12,136
Arunachal Pradesh,Lower Siang,2025-03,44
Arunachal Pradesh,Lower Siang,2025-09,73
Arunachal Pradesh,Lower Siang,2025-10,31
Arunachal Pradesh,Lower Siang,2025-11,42
Arunachal Pradesh,Lower Siang,2025-12,43
Arunachal Pradesh,Lower Subansiri,2025-03,321
Arunachal Pradesh,Lower Subansiri,2025-09,325
Arunachal Pradesh,Lower Subansiri,2025-10,186
Arunachal Pradesh,Lower Subansiri,2025-11,239
Arunachal Pradesh,Lower Subansiri,2025-12,148
Arunachal Pradesh,Namsai,2025-03,603
Arunachal Pradesh,Namsai,2025-09,457
Arunachal Pradesh,Namsai,2025-10,195
Arunachal Pradesh,Namsai,2025-11,278
Arunachal Pradesh,Namsai,2025-12,269
Arunachal Pradesh,Pakke Kessang,2025-09,22
Arunachal Pradesh,Pakke Kessang,2025-10,17
Arunachal Pradesh,Pakke Kessang,2025-11,18
Arunachal Pradesh,Pakke Kessang,2025-12,6
Arunachal Pradesh,Papum Pare,2025-03,1088
Arunachal Pradesh,Papum Pare,2025-09,764
Arunachal Pradesh,Papum Pare,2025-10,551
Arunachal Pradesh,Papum Pare,2025-11,692
Arunachal Pradesh,Papum Pare,2025-12,604
Arunachal Pradesh,Shi-yomi,2025-09,26
Arunachal Pradesh,Shi-yomi,2025-10,23
Arunachal Pradesh,Shi-yomi,2025-11,77
Arunachal Pradesh,Shi-yomi,2025-12,42
Arunachal Pradesh,Siang,2025-03,184
Arunachal Pradesh,Siang,2025-09,163
Arunachal Pradesh,Siang,2025-10,91
Arunachal Pradesh,Siang,2025-11,101
Arunachal Pradesh,Siang,2025-12,107
Arunachal Pradesh,Tawang,2025-03,144
Arunachal Pradesh,Tawang,2025-09,222
Arunachal Pradesh,Tawang,2025-10,99
Arunachal Pradesh,Tawang,2025-11,138
Arunachal Pradesh,Tawang,2025-12,185
Arunachal Pradesh,Tirap,2025-03,253
Arunachal Pradesh,Tirap,2025-09,169
Arunachal Pradesh,Tirap,2025-10,98
Arunachal Pradesh,Tirap,2025-11,154
Arunachal Pradesh,Tirap,2025-12,167
Arunachal Pradesh,Upper Siang,2025-03,52
Arunachal Pradesh,Upper Siang,2025-09,435
Arunachal Pradesh,Upper Siang,2025-10,208
Arunachal Pradesh,Upper Siang,2025-11,125
Arunachal Pradesh,Upper Siang,2025-12,156
Arunachal Pradesh,Upper Subansiri,2025-03,338
Arunachal Pradesh,Upper Subansiri,2025-09,246
Arunachal Pradesh,Upper Subansiri,2025-10,135
Arunachal Pradesh,Upper Subansiri,2025-11,169
Arunachal Pradesh,Upper Subansiri,2025-12,158
Arunachal Pradesh,West Kameng,2025-03,141
Arunachal Pradesh,West Kameng,2025-09,1056
Arunachal Pradesh,West Kameng,2025-10,501
Arunachal Pradesh,West Kameng,2025-11,461
Arunachal Pradesh,West Kameng,2025-12,476
Arunachal Pradesh,West Siang,2025-03,890
Arunachal Pradesh,West Siang,2025-09,1444
Arunachal Pradesh,West Siang,2025-10,669
Arunachal Pradesh,West Siang,2025-11,758
Arunachal Pradesh,West Siang,2025-12,640
Assam,Bajali,2025-09,181
Assam,Bajali,2025-10,72
Assam,Bajali,2025-11,129
Assam,Bajali,2025-12,266
Assam,Baksa,2025-03,3259
Assam,Baksa,2025-09,1907
Assam,Baksa,2025-10,1480
Assam,Baksa,2025-11,2092
Assam,Baksa,2025-12,3727
Assam,Barpeta,2025-03,8719
Assam,Barpeta,2025-07,4004
Assam,Barpeta,2025-09,8714
Assam,Barpeta,2025-10,5337
Assam,Barpeta,2025-11,7443
Assam,Barpeta,2025-12,11833
Assam,Biswanath,2025-03,1689
Assam,Biswanath,2025-09,1668
Assam,Biswanath,2025-10,1140
Assam,Biswanath,2025-11,1328
Assam,Biswanath,2025-12,2046
Assam,Bongaigaon,2025-03,5399
Assam,Bongaigaon,2025-04,3020
Assam,Bongaigaon,2025-07,3198
Assam,Bongaigaon,2025-09,4089
Assam,Bongaigaon,2025-10,2378
Assam,Bongaigaon,2025-11,3210
Assam,Bongaigaon,2025-12,4642
Assam,Cachar,2025-03,7987
Assam,Cachar,2025-07,1113
Assam,Cachar,2025-09,10314
Assam,Cachar,2025-10,6788
Assam,Cachar,2025-11,7800
Assam,Cachar,2025-12,9227
Assam,Charaideo,2025-03,1851
Assam,Charaideo,2025-09,1645
Assam,Charaideo,2025-10,1362
Assam,Charaideo,2025-11,1326
Assam,Charaideo,2025-12,1520
Assam,Chirang,2025-03,1573
Assam,Chirang,2025-09,1726
Assam,Chirang,2025-10,1640
Assam,Chirang,2025-11,2015
Assam,Chirang,2025-12,3326
Assam,Darrang,2025-03,4383
Assam,Darrang,2025-09,5290
Assam,Darrang,2025-10,3367
Assam,Darrang,2025-11,3164
Assam,Darrang,2025-12,5045
Assam,Dhemaji,2025-03,4073
Assam,Dhemaji,2025-09,3568
Assam,Dhemaji,2025-10,2998
Assam,Dhemaji,2025-11,2374
Assam,Dhemaji,2025-12,3347
Assam,Dhubri,2025-03,9321
Assam,Dhubri,2025-06,1099
Assam,Dhubri,2025-07,4208
Assam,Dhubri,2025-09,13955
Assam,Dhubri,2025-10,6416
Assam,Dhubri,2025-11,8497
Assam,Dhubri,2025-12,16627
Assam,Dibrugarh,2025-03,5257
Assam,Dibrugarh,2025-09,5052
Assam,Dibrugarh,2025-10,2849
Assam,Dibrugarh,2025-11,3666
Assam,Dibrugarh,2025-12,3881
Assam,Dima Hasao,2025-09,37
Assam,Dima Hasao,2025-10,33
Assam,Dima Hasao,2025-11,43
Assam,Dima Hasao,2025-12,97
Assam,Goalpara,2025-03,5527
Assam,Goalpara,2025-07,3975
Assam,Goalpara,2025-09,5724
Assam,Goalpara,2025-10,3441
Assam,Goalpara,2025-11,4126
Assam,Goalpara,2025-12,6561
Assam,Golaghat,2025-03,7704
Assam,Golaghat,2025-09,4422
Assam,Golaghat,2025-10,2996
Assam,Golaghat,2025-11,3371
Assam,Golaghat,2025-12,3747
Assam,Hailakandi,2025-03,1595
Assam,Hailakandi,2025-07,779
Assam,Hailakandi,2025-09,3857
Assam,Hailakandi,2025-10,2666
Assam,Hailakandi,2025-11,3040
Assam,Hailakandi,2025-12,4347
Assam,Hojai,2025-03,2935
Assam,Hojai,2025-07,1714
Assam,Hojai,2025-09,4368
Assam,Hojai,2025-10,2259
Assam,Hojai,2025-11,2992
Assam,Hojai,2025-12,4293
Assam,Jorhat,2025-03,3692
Assam,Jorhat,2025-09,2545
Assam,Jorhat,2025-10,2573
Assam,Jorhat,2025-11,2809
Assam,Jorhat,2025-12,2926
Assam,Kamrup,2025-03,4340
Assam,Kamrup,2025-07,1541
Assam,Kamrup,2025-09,7237
Assam,Kamrup,2025-10,5153
Assam,Kamrup,2025-11,5718
Assam,Kamrup,2025-12,9378
Assam,Kamrup Metro,2025-03,4142
Assam,Kamrup Metro,2025-09,3641
Assam,Kamrup Metro,2025-10,2218
Assam,Kamrup Metro,2025-11,4163
Assam,Kamrup Metro,2025-12,5095
Assam,Karbi Anglong,2025-03,5814
Assam,Karbi Anglong,2025-09,7586
Assam,Karbi Anglong,2025-10,4366
Assam,Karbi Anglong,2025-11,2915
Assam,Karbi Anglong,2025-12,3750
Assam,Karimganj,2025-03,3899
Assam,Karimganj,2025-09,5354
Assam,Karimganj,2025-10,5083
Assam,Karimganj,2025-11,6181
Assam,Karimganj,2025-12,10204
Assam,Kokrajhar,2025-03,2882
Assam,Kokrajhar,2025-05,714
Assam,Kokrajhar,2025-06,247
Assam,Kokrajhar,2025-09,2450
Assam,Kokrajhar,2025-10,1852
Assam,Kokrajhar,2025-11,2901
Assam,Kokrajhar,2025-12,5650
Assam,Lakhimpur,2025-03,7339
Assam,Lakhimpur,2025-09,6242
Assam,Lakhimpur,2025-10,3793
Assam,Lakhimpur,2025-11,4193
Assam,Lakhimpur,2025-12,4756
Assam,Majuli,2025-03,624
Assam,Majuli,2025-09,691
Assam,Majuli,2025-10,415
Assam,Majuli,2025-11,297
Assam,Majuli,2025-12,582
Assam,Marigaon,2025-03,6898
Assam,Marigaon,2025-07,1128
Assam,Marigaon,2025-09,7564
Assam,Marigaon,2025-10,3563
Assam,Marigaon,2025-11,4446
Assam,Marigaon,2025-12,9342
Assam,Nagaon,2025-03,14519
Assam,Nagaon,2025-07,3523
Assam,Nagaon,2025-09,16629
Assam,Nagaon,2025-10,10353
Assam,Nagaon,2025-11,11501
Assam,Nagaon,2025-12,17764
Assam,Nalbari,2025-03,2905
Assam,Nalbari,2025-09,3525
Assam,Nalbari,2025-10,2060
Assam,Nalbari,2025-11,2491
Assam,Nalbari,2025-12,3784
Assam,North Cachar Hills,2025-03,609
Assam,North Cachar Hills,2025-09,914
Assam,North Cachar Hills,2025-10,387
Assam,North Cachar Hills,2025-11,458
Assam,North Cachar Hills,2025-12,522
Assam,Sibsagar,2025-03,1304
Assam,Sibsagar,2025-09,2197
Assam,Sibsagar,2025-10,1739
Assam,Sibsagar,2025-11,2434
Assam,Sibsagar,2025-12,2118
Assam,Sonitpur,2025-03,6550
Assam,Sonitpur,2025-09,6681
Assam,Sonitpur,2025-10,4725
Assam,Sonitpur,2025-11,5265
Assam,Sonitpur,2025-12,7806
Assam,South Salmara Mankachar,2025-03,3350
Assam,South Salmara Mankachar,2025-07,2615
Assam,South Salmara Mankachar,2025-09,4029
Assam,South Salmara Mankachar,2025-10,1269
Assam,South Salmara Mankachar,2025-11,1612
Assam,South Salmara Mankachar,2025-12,2887
Assam,Sribhumi,2025-09,701
Assam,Sribhumi,2025-10,524
Assam,Sribhumi,2025-11,922
Assam,Sribhumi,2025-12,1711
Assam,Tamulpur District,2025-09,190
Assam,Tamulpur District,2025-10,171
Assam,Tamulpur District,2025-11,225
Assam,Tamulpur District,2025-12,367
Assam,Tinsukia,2025-03,5803
Assam,Tinsukia,2025-09,4476
Assam,Tinsukia,2025-10,4963
Assam,Tinsukia,2025-11,4615
Assam,Tinsukia,2025-12,6281
Assam,Udalguri,2025-03,3463
Assam,Udalguri,2025-09,2398
Assam,Udalguri,2025-10,1839
Assam,Udalguri,2025-11,2502
Assam,Udalguri,2025-12,4187
Assam,West Karbi Anglong,2025-03,278
