state_clean,district_clean,date,total_biometric
Andhra Pradesh,Bapatla,2025-05,811
Andhra Pradesh,Bapatla,2025-06,1287
Andhra Pradesh,Bapatla,2025-07,336
Andhra Pradesh,Bapatla,2025-09,298
Andhra Pradesh,Bapatla,2025-10,582
Andhra Pradesh,Bapatla,2025-11,911
Andhra Pradesh,Bapatla,2025-12,903
Andhra Pradesh,Chittoor,2025-03,28187
Andhra Pradesh,Chittoor,2025-04,45490
Andhra Pradesh,Chittoor,2025-05,34888
Andhra Pradesh,Chittoor,2025-06,30828
Andhra Pradesh,Chittoor,2025-07,19343
Andhra Pradesh,Chittoor,2025-09,11659
Andhra Pradesh,Chittoor,2025-10,23994
Andhra Pradesh,Chittoor,2025-11,29257
Andhra Pradesh,Chittoor,2025-12,21507
Andhra Pradesh,Cuddapah,2025-03,16821
Andhra Pradesh,Cuddapah,2025-04,27922
Andhra Pradesh,Cuddapah,2025-05,24556
Andhra Pradesh,Cuddapah,2025-06,24568
Andhra Pradesh,Cuddapah,2025-07,14228
Andhra Pradesh,Cuddapah,2025-09,7953
Andhra Pradesh,Cuddapah,2025-10,15739
Andhra Pradesh,Cuddapah,2025-11,15991
Andhra Pradesh,Cuddapah,2025-12,17432
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,297
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,568
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,1029
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,1196
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,482
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,492
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,832
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,1111
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,957
Andhra Pradesh,East Godavari,2025-03,55134
Andhra Pradesh,East Godavari,2025-04,87306
Andhra Pradesh,East Godavari,2025-05,70900
Andhra Pradesh,East Godavari,2025-06,73379
Andhra Pradesh,East Godavari,2025-07,44997
Andhra Pradesh,East Godavari,2025-09,25967
Andhra Pradesh,East Godavari,2025-10,44464
Andhra Pradesh,East Godavari,2025-11,53925
Andhra Pradesh,East Godavari,2025-12,49365
Andhra Pradesh,Eluru,2025-03,479
Andhra Pradesh,Eluru,2025-04,864
Andhra Pradesh,Eluru,2025-05,1535
Andhra Pradesh,Eluru,2025-06,1592
Andhra Pradesh,Eluru,2025-07,609
Andhra Pradesh,Eluru,2025-09,555
Andhra Pradesh,Eluru,2025-10,622
Andhra Pradesh,Eluru,2025-11,811
Andhra Pradesh,Eluru,2025-12,946
Andhra Pradesh,Guntur,2025-03,31259
Andhra Pradesh,Guntur,2025-04,51534
Andhra Pradesh,Guntur,2025-05,40540
Andhra Pradesh,Guntur,2025-06,41700
Andhra Pradesh,Guntur,2025-07,25611
Andhra Pradesh,Guntur,2025-09,12354
Andhra Pradesh,Guntur,2025-10,24036
Andhra Pradesh,Guntur,2025-11,29943
Andhra Pradesh,Guntur,2025-12,26813
Andhra Pradesh,Hyderabad,2025-03,12006
Andhra Pradesh,Hyderabad,2025-04,10774
Andhra Pradesh,Hyderabad,2025-05,11023
Andhra Pradesh,Hyderabad,2025-06,11950
Andhra Pradesh,Hyderabad,2025-07,15655
Andhra Pradesh,Hyderabad,2025-09,9979
Andhra Pradesh,Hyderabad,2025-10,8585
Andhra Pradesh,Hyderabad,2025-11,9836
Andhra Pradesh,Hyderabad,2025-12,12661
Andhra Pradesh,K.v. Rangareddy,2025-03,17
Andhra Pradesh,K.v. Rangareddy,2025-06,35
Andhra Pradesh,K.v. Rangareddy,2025-07,22
Andhra Pradesh,K.v. Rangareddy,2025-09,275
Andhra Pradesh,K.v. Rangareddy,2025-10,278
Andhra Pradesh,K.v. Rangareddy,2025-11,219
Andhra Pradesh,K.v. Rangareddy,2025-12,236
Andhra Pradesh,Kakinada,2025-03,520
Andhra Pradesh,Kakinada,2025-04,1323
Andhra Pradesh,Kakinada,2025-05,2014
Andhra Pradesh,Kakinada,2025-06,1781
Andhra Pradesh,Kakinada,2025-07,1131
Andhra Pradesh,Kakinada,2025-09,569
Andhra Pradesh,Kakinada,2025-10,1186
Andhra Pradesh,Kakinada,2025-11,1538
Andhra Pradesh,Kakinada,2025-12,1247
Andhra Pradesh,Karimnagar,2025-03,1562
Andhra Pradesh,Karimnagar,2025-04,686
Andhra Pradesh,Karimnagar,2025-05,1631
Andhra Pradesh,Karimnagar,2025-06,1828
Andhra Pradesh,Karimnagar,2025-07,2127
Andhra Pradesh,Karimnagar,2025-09,3235
Andhra Pradesh,Karimnagar,2025-10,2357
Andhra Pradesh,Karimnagar,2025-11,2187
Andhra Pradesh,Karimnagar,2025-12,2440
Andhra Pradesh,Khammam,2025-03,3925
Andhra Pradesh,Khammam,2025-04,2941
Andhra Pradesh,Khammam,2025-05,3874
Andhra Pradesh,Khammam,2025-06,5086
Andhra Pradesh,Khammam,2025-07,6128
Andhra Pradesh,Khammam,2025-09,4499
Andhra Pradesh,Khammam,2025-10,5330
Andhra Pradesh,Khammam,2025-11,4194
Andhra Pradesh,Khammam,2025-12,3737
Andhra Pradesh,Krishna,2025-03,26703
Andhra Pradesh,Krishna,2025-04,39037
Andhra Pradesh,Krishna,2025-05,29999
Andhra Pradesh,Krishna,2025-06,30882
Andhra Pradesh,Krishna,2025-07,22966
Andhra Pradesh,Krishna,2025-09,14308
Andhra Pradesh,Krishna,2025-10,18936
Andhra Pradesh,Krishna,2025-11,24580
Andhra Pradesh,Krishna,2025-12,20118
Andhra Pradesh,Kurnool,2025-03,38238
Andhra Pradesh,Kurnool,2025-04,67938
Andhra Pradesh,Kurnool,2025-05,50480
Andhra Pradesh,Kurnool,2025-06,47336
Andhra Pradesh,Kurnool,2025-07,29937
Andhra Pradesh,Kurnool,2025-09,16045
Andhra Pradesh,Kurnool,2025-10,32786
Andhra Pradesh,Kurnool,2025-11,30528
Andhra Pradesh,Kurnool,2025-12,29022
Andhra Pradesh,Mahabubnagar,2025-03,1702
Andhra Pradesh,Mahabubnagar,2025-04,974
Andhra Pradesh,Mahabubnagar,2025-05,1056
Andhra Pradesh,Mahabubnagar,2025-06,1830
Andhra Pradesh,Mahabubnagar,2025-07,2040
Andhra Pradesh,Mahabubnagar,2025-09,5786
Andhra Pradesh,Mahabubnagar,2025-10,5300
Andhra Pradesh,Mahabubnagar,2025-11,4253
Andhra Pradesh,Mahabubnagar,2025-12,4253
Andhra Pradesh,Medak,2025-03,1909
Andhra Pradesh,Medak,2025-04,1702
Andhra Pradesh,Medak,2025-05,1372
Andhra Pradesh,Medak,2025-06,2162
Andhra Pradesh,Medak,2025-07,2470
Andhra Pradesh,Medak,2025-09,3394
Andhra Pradesh,Medak,2025-10,3104
Andhra Pradesh,Medak,2025-11,2642
Andhra Pradesh,Medak,2025-12,2721
Andhra Pradesh,N. T. R,2025-03,1120
Andhra Pradesh,N. T. R,2025-04,1937
Andhra Pradesh,N. T. R,2025-05,2031
Andhra Pradesh,N. T. R,2025-06,1843
Andhra Pradesh,N. T. R,2025-07,1867
Andhra Pradesh,N. T. R,2025-09,914
Andhra Pradesh,N. T. R,2025-10,1081
Andhra Pradesh,N. T. R,2025-11,1254
Andhra Pradesh,N. T. R,2025-12,1161
Andhra Pradesh,Nalgonda,2025-03,1893
Andhra Pradesh,Nalgonda,2025-04,1272
Andhra Pradesh,Nalgonda,2025-05,2342
Andhra Pradesh,Nalgonda,2025-06,3687
Andhra Pradesh,Nalgonda,2025-07,3948
Andhra Pradesh,Nalgonda,2025-09,4473
Andhra Pradesh,Nalgonda,2025-10,5422
Andhra Pradesh,Nalgonda,2025-11,4275
Andhra Pradesh,Nalgonda,2025-12,4082
Andhra Pradesh,Nandyal,2025-03,563
Andhra Pradesh,Nandyal,2025-04,1069
Andhra Pradesh,Nandyal,2025-05,1756
Andhra Pradesh,Nandyal,2025-06,1957
Andhra Pradesh,Nandyal,2025-07,851
Andhra Pradesh,Nandyal,2025-09,571
Andhra Pradesh,Nandyal,2025-10,1129
Andhra Pradesh,Nandyal,2025-11,1149
Andhra Pradesh,Nandyal,2025-12,1235
Andhra Pradesh,Nizamabad,2025-03,910
Andhra Pradesh,Nizamabad,2025-04,757
Andhra Pradesh,Nizamabad,2025-05,973
Andhra Pradesh,Nizamabad,2025-06,1088
Andhra Pradesh,Nizamabad,2025-07,1240
Andhra Pradesh,Nizamabad,2025-09,1224
Andhra Pradesh,Nizamabad,2025-10,1533
Andhra Pradesh,Nizamabad,2025-11,1355
Andhra Pradesh,Nizamabad,2025-12,1410
Andhra Pradesh,Palnadu,2025-03,604
Andhra Pradesh,Palnadu,2025-04,1004
Andhra Pradesh,Palnadu,2025-05,1959
Andhra Pradesh,Palnadu,2025-06,2105
Andhra Pradesh,Palnadu,2025-07,899
Andhra Pradesh,Palnadu,2025-09,508
Andhra Pradesh,Palnadu,2025-10,779
Andhra Pradesh,Palnadu,2025-11,990
Andhra Pradesh,Palnadu,2025-12,967
Andhra Pradesh,Parvathipuram Manyam,2025-03,849
Andhra Pradesh,Parvathipuram Manyam,2025-04,1495
Andhra Pradesh,Parvathipuram Manyam,2025-05,1800
Andhra Pradesh,Parvathipuram Manyam,2025-06,1937
Andhra Pradesh,Parvathipuram Manyam,2025-07,1152
Andhra Pradesh,Parvathipuram Manyam,2025-09,554
Andhra Pradesh,Parvathipuram Manyam,2025-10,724
Andhra Pradesh,Parvathipuram Manyam,2025-11,917
Andhra Pradesh,Parvathipuram Manyam,2025-12,964
Andhra Pradesh,Prakasam,2025-03,19233
Andhra Pradesh,Prakasam,2025-04,36541
Andhra Pradesh,Prakasam,2025-05,33282
Andhra Pradesh,Prakasam,2025-06,33074
Andhra Pradesh,Prakasam,2025-07,18726
Andhra Pradesh,Prakasam,2025-09,9870
Andhra Pradesh,Prakasam,2025-10,16446
Andhra Pradesh,Prakasam,2025-11,20745
Andhra Pradesh,Prakasam,2025-12,19561
Andhra Pradesh,Rangareddi,2025-03,6250
Andhra Pradesh,Rangareddi,2025-04,5150
Andhra Pradesh,Rangareddi,2025-05,5287
Andhra Pradesh,Rangareddi,2025-06,6263
Andhra Pradesh,Rangareddi,2025-07,8062
Andhra Pradesh,Rangareddi,2025-09,5413
Andhra Pradesh,Rangareddi,2025-10,5071
Andhra Pradesh,Rangareddi,2025-11,5053
Andhra Pradesh,Rangareddi,2025-12,6505
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-03,282
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-04,888
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-05,1974
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-06,1884
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-07,816
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,582
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,993
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,1282
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,1014
Andhra Pradesh,Sri Sathya Sai,2025-03,1201
Andhra Pradesh,Sri Sathya Sai,2025-04,1085
Andhra Pradesh,Sri Sathya Sai,2025-05,1781
Andhra Pradesh,Sri Sathya Sai,2025-06,1804
Andhra Pradesh,Sri Sathya Sai,2025-07,447
Andhra Pradesh,Sri Sathya Sai,2025-09,563
Andhra Pradesh,Sri Sathya Sai,2025-10,1065
Andhra Pradesh,Sri Sathya Sai,2025-11,1079
Andhra Pradesh,Sri Sathya Sai,2025-12,1088
Andhra Pradesh,Srikakulam,2025-03,29981
Andhra Pradesh,Srikakulam,2025-04,37180
Andhra Pradesh,Srikakulam,2025-05,22755
Andhra Pradesh,Srikakulam,2025-06,24808
Andhra Pradesh,Srikakulam,2025-07,15277
Andhra Pradesh,Srikakulam,2025-09,8568
Andhra Pradesh,Srikakulam,2025-10,16553
Andhra Pradesh,Srikakulam,2025-11,16368
Andhra Pradesh,Srikakulam,2025-12,16638
Andhra Pradesh,Tirupati,2025-03,650
Andhra Pradesh,Tirupati,2025-04,1131
Andhra Pradesh,Tirupati,2025-05,1899
Andhra Pradesh,Tirupati,2025-06,1657
Andhra Pradesh,Tirupati,2025-07,961
Andhra Pradesh,Tirupati,2025-09,629
Andhra Pradesh,Tirupati,2025-10,871
Andhra Pradesh,Tirupati,2025-11,1216
Andhra Pradesh,Tirupati,2025-12,1074
Andhra Pradesh,Vellore,2025-03,11353
Andhra Pradesh,Vellore,2025-04,27718
Andhra Pradesh,Vellore,2025-05,24087
Andhra Pradesh,Vellore,2025-06,24325
Andhra Pradesh,Vellore,2025-07,15177
Andhra Pradesh,Vellore,2025-09,7960
Andhra Pradesh,Vellore,2025-10,13223
Andhra Pradesh,Vellore,2025-11,16819
Andhra Pradesh,Vellore,2025-12,13043
Andhra Pradesh,Visakhapatnam,2025-03,36993
Andhra Pradesh,Visakhapatnam,2025-04,58493
Andhra Pradesh,Visakhapatnam,2025-05,42735
Andhra Pradesh,Visakhapatnam,2025-06,44968
Andhra Pradesh,Visakhapatnam,2025-07,26537
Andhra Pradesh,Visakhapatnam,2025-09,18039
Andhra Pradesh,Visakhapatnam,2025-10,19446
Andhra Pradesh,Visakhapatnam,2025-11,27983
Andhra Pradesh,Visakhapatnam,2025-12,28718
Andhra Pradesh,Vizianagaram,2025-03,18439
Andhra Pradesh,Vizianagaram,2025-04,27931
Andhra Pradesh,Vizianagaram,2025-05,21933
Andhra Pradesh,Vizianagaram,2025-06,20874
Andhra Pradesh,Vizianagaram,2025-07,13366
Andhra Pradesh,Vizianagaram,2025-09,7682
Andhra Pradesh,Vizianagaram,2025-10,12076
Andhra Pradesh,Vizianagaram,2025-11,15847
Andhra Pradesh,Vizianagaram,2025-12,16835
Andhra Pradesh,Warangal,2025-03,5249
Andhra Pradesh,Warangal,2025-04,4063
Andhra Pradesh,Warangal,2025-05,4896
Andhra Pradesh,Warangal,2025-06,5997
Andhra Pradesh,Warangal,2025-07,7202
Andhra Pradesh,Warangal,2025-09,6397
Andhra Pradesh,Warangal,2025-10,5490
Andhra Pradesh,Warangal,2025-11,5263
Andhra Pradesh,Warangal,2025-12,5522
Andhra Pradesh,Y. S. R,2025-03,560
Andhra Pradesh,Y. S. R,2025-04,871
Andhra Pradesh,Y. S. R,2025-05,1259
Andhra Pradesh,Y. S. R,2025-06,1684
Andhra Pradesh,Y. S. R,2025-07,696
Andhra Pradesh,Y. S. R,2025-09,535
Andhra Pradesh,Y. S. R,2025-10,704
Andhra Pradesh,Y. S. R,2025-11,861
Andhra Pradesh,Y. S. R,2025-12,1142
Arunachal Pradesh,Anjaw,2025-03,134
Arunachal Pradesh,Anjaw,2025-04,121
Arunachal Pradesh,Anjaw,2025-05,190
Arunachal Pradesh,Anjaw,2025-06,108
Arunachal Pradesh,Anjaw,2025-07,139
Arunachal Pradesh,Anjaw,2025-09,77
Arunachal Pradesh,Anjaw,2025-10,58
Arunachal Pradesh,Anjaw,2025-11,213
Arunachal Pradesh,Anjaw,2025-12,121
Arunachal Pradesh,Changlang,2025-03,822
Arunachal Pradesh,Changlang,2025-04,748
Arunachal Pradesh,Changlang,2025-05,649
Arunachal Pradesh,Changlang,2025-06,674
Arunachal Pradesh,Changlang,2025-07,947
Arunachal Pradesh,Changlang,2025-09,1274
Arunachal Pradesh,Changlang,2025-10,442
Arunachal Pradesh,Changlang,2025-11,1299
Arunachal Pradesh,Changlang,2025-12,1059
Arunachal Pradesh,Dibang Valley,2025-03,56
Arunachal Pradesh,Dibang Valley,2025-04,22
Arunachal Pradesh,Dibang Valley,2025-05,58
Arunachal Pradesh,Dibang Valley,2025-06,36
Arunachal Pradesh,Dibang Valley,2025-07,33
Arunachal Pradesh,Dibang Valley,2025-09,18
Arunachal Pradesh,Dibang Valley,2025-10,27
Arunachal Pradesh,Dibang Valley,2025-11,182
Arunachal Pradesh,Dibang Valley,2025-12,22
Arunachal Pradesh,Kamle,2025-06,25
Arunachal Pradesh,Kamle,2025-07,66
Arunachal Pradesh,Kamle,2025-09,23
Arunachal Pradesh,Kamle,2025-10,5
Arunachal Pradesh,Kamle,2025-11,15
Arunachal Pradesh,Kamle,2025-12,4
Arunachal Pradesh,Kra Daadi,2025-03,197
Arunachal Pradesh,Kra Daadi,2025-04,207
Arunachal Pradesh,Kra Daadi,2025-05,198
Arunachal Pradesh,Kra Daadi,2025-06,129
Arunachal Pradesh,Kra Daadi,2025-07,178
Arunachal Pradesh,Kra Daadi,2025-09,106
Arunachal Pradesh,Kra Daadi,2025-10,75
Arunachal Pradesh,Kra Daadi,2025-11,53
Arunachal Pradesh,Kra Daadi,2025-12,84
Arunachal Pradesh,Kurung Kumey,2025-03,629
Arunachal Pradesh,Kurung Kumey,2025-04,574
Arunachal Pradesh,Kurung Kumey,2025-05,456
Arunachal Pradesh,Kurung Kumey,2025-06,289
Arunachal Pradesh,Kurung Kumey,2025-07,486
Arunachal Pradesh,Kurung Kumey,2025-09,233
Arunachal Pradesh,Kurung Kumey,2025-10,150
Arunachal Pradesh,Kurung Kumey,2025-11,317
Arunachal Pradesh,Kurung Kumey,2025-12,159
Arunachal Pradesh,Leparada,2025-09,3
Arunachal Pradesh,Leparada,2025-10,10
Arunachal Pradesh,Leparada,2025-11,13
Arunachal Pradesh,Leparada,2025-12,2
Arunachal Pradesh,Lohit,2025-03,464
Arunachal Pradesh,Lohit,2025-04,483
Arunachal Pradesh,Lohit,2025-05,454
Arunachal Pradesh,Lohit,2025-06,386
Arunachal Pradesh,Lohit,2025-07,365
Arunachal Pradesh,Lohit,2025-09,292
Arunachal Pradesh,Lohit,2025-10,248
Arunachal Pradesh,Lohit,2025-11,339
Arunachal Pradesh,Lohit,2025-12,686
Arunachal Pradesh,Longding,2025-03,262
Arunachal Pradesh,Longding,2025-04,403
Arunachal Pradesh,Longding,2025-05,320
Arunachal Pradesh,Longding,2025-06,277
Arunachal Pradesh,Longding,2025-07,338
Arunachal Pradesh,Longding,2025-09,325
Arunachal Pradesh,Longding,2025-10,165
Arunachal Pradesh,Longding,2025-11,269
Arunachal Pradesh,Longding,2025-12,175
Arunachal Pradesh,Lower Dibang Valley,2025-03,197
Arunachal Pradesh,Lower Dibang Valley,2025-04,178
Arunachal Pradesh,Lower Dibang Valley,2025-05,233
Arunachal Pradesh,Lower Dibang Valley,2025-06,231
Arunachal Pradesh,Lower Dibang Valley,2025-07,253
Arunachal Pradesh,Lower Dibang Valley,2025-09,177
Arunachal Pradesh,Lower Dibang Valley,2025-10,291
Arunachal Pradesh,Lower Dibang Valley,2025-11,343
Arunachal Pradesh,Lower Dibang Valley,2025-12,243
Arunachal Pradesh,Lower Siang,2025-03,38
Arunachal Pradesh,Lower Siang,2025-05,22
Arunachal Pradesh,Lower Siang,2025-09,35
Arunachal Pradesh,Lower Siang,2025-10,68
Arunachal Pradesh,Lower Siang,2025-11,176
Arunachal Pradesh,Lower Siang,2025-12,28
Arunachal Pradesh,Lower Subansiri,2025-03,209
Arunachal Pradesh,Lower Subansiri,2025-04,347
Arunachal Pradesh,Lower Subansiri,2025-05,351
Arunachal Pradesh,Lower Subansiri,2025-06,237
Arunachal Pradesh,Lower Subansiri,2025-07,528
Arunachal Pradesh,Lower Subansiri,2025-09,277
Arunachal Pradesh,Lower Subansiri,2025-10,357
Arunachal Pradesh,Lower Subansiri,2025-11,175
Arunachal Pradesh,Lower Subansiri,2025-12,154
Arunachal Pradesh,Namsai,2025-03,487
Arunachal Pradesh,Namsai,2025-04,678
Arunachal Pradesh,Namsai,2025-05,836
Arunachal Pradesh,Namsai,2025-06,898
Arunachal Pradesh,Namsai,2025-07,732
Arunachal Pradesh,Namsai,2025-09,359
Arunachal Pradesh,Namsai,2025-10,177
Arunachal Pradesh,Namsai,2025-11,911
Arunachal Pradesh,Namsai,2025-12,726
Arunachal Pradesh,Pakke Kessang,2025-03,18
Arunachal Pradesh,Pakke Kessang,2025-09,27
Arunachal Pradesh,Pakke Kessang,2025-10,9
Arunachal Pradesh,Pakke Kessang,2025-11,11
Arunachal Pradesh,Pakke Kessang,2025-12,2
Arunachal Pradesh,Papum Pare,2025-03,1062
Arunachal Pradesh,Papum Pare,2025-04,1076
Arunachal Pradesh,Papum Pare,2025-05,1183
Arunachal Pradesh,Papum Pare,2025-06,881
Arunachal Pradesh,Papum Pare,2025-07,1432
Arunachal Pradesh,Papum Pare,2025-09,1249
Arunachal Pradesh,Papum Pare,2025-10,738
Arunachal Pradesh,Papum Pare,2025-11,642
Arunachal Pradesh,Papum Pare,2025-12,728
Arunachal Pradesh,Shi-yomi,2025-03,26
Arunachal Pradesh,Shi-yomi,2025-04,32
Arunachal Pradesh,Shi-yomi,2025-05,40
Arunachal Pradesh,Shi-yomi,2025-06,34
Arunachal Pradesh,Shi-yomi,2025-07,48
Arunachal Pradesh,Shi-yomi,2025-09,23
Arunachal Pradesh,Shi-yomi,2025-10,19
Arunachal Pradesh,Shi-yomi,2025-11,233
Arunachal Pradesh,Shi-yomi,2025-12,62
Arunachal Pradesh,Siang,2025-03,117
Arunachal Pradesh,Siang,2025-04,156
Arunachal Pradesh,Siang,2025-05,164
Arunachal Pradesh,Siang,2025-06,129
Arunachal Pradesh,Siang,2025-07,156
Arunachal Pradesh,Siang,2025-09,123
Arunachal Pradesh,Siang,2025-10,64
Arunachal Pradesh,Siang,2025-11,171
Arunachal Pradesh,Siang,2025-12,148
Arunachal Pradesh,Tawang,2025-03,198
Arunachal Pradesh,Tawang,2025-04,271
Arunachal Pradesh,Tawang,2025-05,227
Arunachal Pradesh,Tawang,2025-06,169
Arunachal Pradesh,Tawang,2025-07,167
Arunachal Pradesh,Tawang,2025-09,158
Arunachal Pradesh,Tawang,2025-10,482
Arunachal Pradesh,Tawang,2025-11,401
Arunachal Pradesh,Tawang,2025-12,351
Arunachal Pradesh,Tirap,2025-03,102
Arunachal Pradesh,Tirap,2025-04,156
Arunachal Pradesh,Tirap,2025-05,189
Arunachal Pradesh,Tirap,2025-06,188
Arunachal Pradesh,Tirap,2025-07,169
Arunachal Pradesh,Tirap,2025-09,167
Arunachal Pradesh,Tirap,2025-10,454
Arunachal Pradesh,Tirap,2025-11,276
Arunachal Pradesh,Tirap,2025-12,121
Arunachal Pradesh,Upper Siang,2025-03,125
Arunachal Pradesh,Upper Siang,2025-04,179
Arunachal Pradesh,Upper Siang,2025-05,221
Arunachal Pradesh,Upper Siang,2025-06,109
Arunachal Pradesh,Upper Siang,2025-07,110
Arunachal Pradesh,Upper Siang,2025-09,103
Arunachal Pradesh,Upper Siang,2025-10,173
Arunachal Pradesh,Upper Siang,2025-11,221
Arunachal Pradesh,Upper Siang,2025-12,414
Arunachal Pradesh,Upper Subansiri,2025-03,559
Arunachal Pradesh,Upper Subansiri,2025-04,566
