state_clean,district_clean,date,total_enrollments
Arunachal Pradesh,Lower Subansiri,2025-09,44
Arunachal Pradesh,Lower Subansiri,2025-10,22
Arunachal Pradesh,Lower Subansiri,2025-11,28
Arunachal Pradesh,Lower Subansiri,2025-12,11
Arunachal Pradesh,Namsai,2025-09,61
Arunachal Pradesh,Namsai,2025-10,34
Arunachal Pradesh,Namsai,2025-11,25
Arunachal Pradesh,Namsai,2025-12,28
Arunachal Pradesh,Pakke Kessang,2025-09,2
Arunachal Pradesh,Pakke Kessang,2025-10,1
Arunachal Pradesh,Pakke Kessang,2025-11,1
Arunachal Pradesh,Papum Pare,2025-09,159
Arunachal Pradesh,Papum Pare,2025-10,119
Arunachal Pradesh,Papum Pare,2025-11,111
Arunachal Pradesh,Papum Pare,2025-12,45
Arunachal Pradesh,Shi-yomi,2025-09,5
Arunachal Pradesh,Shi-yomi,2025-10,7
Arunachal Pradesh,Shi-yomi,2025-11,17
Arunachal Pradesh,Shi-yomi,2025-12,2
Arunachal Pradesh,Siang,2025-09,74
Arunachal Pradesh,Siang,2025-10,14
Arunachal Pradesh,Siang,2025-11,12
Arunachal Pradesh,Siang,2025-12,2
Arunachal Pradesh,Tawang,2025-09,70
Arunachal Pradesh,Tawang,2025-10,32
Arunachal Pradesh,Tawang,2025-11,33
Arunachal Pradesh,Tawang,2025-12,18
Arunachal Pradesh,Tirap,2025-09,26
Arunachal Pradesh,Tirap,2025-10,23
Arunachal Pradesh,Tirap,2025-11,30
Arunachal Pradesh,Tirap,2025-12,10
Arunachal Pradesh,Upper Siang,2025-09,15
Arunachal Pradesh,Upper Siang,2025-10,13
Arunachal Pradesh,Upper Siang,2025-11,9
Arunachal Pradesh,Upper Siang,2025-12,4
Arunachal Pradesh,Upper Subansiri,2025-09,56
Arunachal Pradesh,Upper Subansiri,2025-10,31
Arunachal Pradesh,Upper Subansiri,2025-11,32
Arunachal Pradesh,Upper Subansiri,2025-12,20
Arunachal Pradesh,West Kameng,2025-07,83
Arunachal Pradesh,West Kameng,2025-09,158
Arunachal Pradesh,West Kameng,2025-10,85
Arunachal Pradesh,West Kameng,2025-11,86
Arunachal Pradesh,West Kameng,2025-12,40
Arunachal Pradesh,West Siang,2025-09,136
Arunachal Pradesh,West Siang,2025-10,81
Arunachal Pradesh,West Siang,2025-11,94
Arunachal Pradesh,West Siang,2025-12,40
Assam,Bajali,2025-09,12
Assam,Bajali,2025-10,4
Assam,Bajali,2025-11,5
Assam,Bajali,2025-12,5
Assam,Baksa,2025-03,38
Assam,Baksa,2025-04,1078
Assam,Baksa,2025-05,82
Assam,Baksa,2025-06,52
Assam,Baksa,2025-07,220
Assam,Baksa,2025-09,709
Assam,Baksa,2025-10,567
Assam,Baksa,2025-11,453
Assam,Baksa,2025-12,385
Assam,Barpeta,2025-03,68
Assam,Barpeta,2025-04,215
Assam,Barpeta,2025-05,183
Assam,Barpeta,2025-06,1179
Assam,Barpeta,2025-07,4389
Assam,Barpeta,2025-09,3702
Assam,Barpeta,2025-10,1584
Assam,Barpeta,2025-11,1670
Assam,Barpeta,2025-12,1043
Assam,Biswanath,2025-04,250
Assam,Biswanath,2025-09,337
Assam,Biswanath,2025-10,200
Assam,Biswanath,2025-11,307
Assam,Biswanath,2025-12,178
Assam,Bongaigaon,2025-03,89
Assam,Bongaigaon,2025-04,369
Assam,Bongaigaon,2025-05,166
Assam,Bongaigaon,2025-06,61
Assam,Bongaigaon,2025-07,303
Assam,Bongaigaon,2025-09,901
Assam,Bongaigaon,2025-10,404
Assam,Bongaigaon,2025-11,455
Assam,Bongaigaon,2025-12,355
Assam,Cachar,2025-04,1748
Assam,Cachar,2025-06,1632
Assam,Cachar,2025-07,5873
Assam,Cachar,2025-09,3463
Assam,Cachar,2025-10,1761
Assam,Cachar,2025-11,1739
Assam,Cachar,2025-12,995
Assam,Charaideo,2025-04,305
Assam,Charaideo,2025-05,50
Assam,Charaideo,2025-09,299
Assam,Charaideo,2025-10,168
Assam,Charaideo,2025-11,221
Assam,Charaideo,2025-12,139
Assam,Chirang,2025-03,56
Assam,Chirang,2025-04,567
Assam,Chirang,2025-07,1309
Assam,Chirang,2025-09,511
Assam,Chirang,2025-10,225
Assam,Chirang,2025-11,320
Assam,Chirang,2025-12,298
Assam,Darrang,2025-04,1264
Assam,Darrang,2025-05,448
Assam,Darrang,2025-06,98
Assam,Darrang,2025-07,257
Assam,Darrang,2025-09,1784
Assam,Darrang,2025-10,1050
Assam,Darrang,2025-11,1572
Assam,Darrang,2025-12,968
Assam,Dhemaji,2025-03,85
Assam,Dhemaji,2025-04,407
Assam,Dhemaji,2025-05,591
Assam,Dhemaji,2025-06,316
Assam,Dhemaji,2025-07,2538
Assam,Dhemaji,2025-09,906
Assam,Dhemaji,2025-10,649
Assam,Dhemaji,2025-11,757
Assam,Dhemaji,2025-12,554
Assam,Dhubri,2025-03,416
Assam,Dhubri,2025-04,1732
Assam,Dhubri,2025-06,545
Assam,Dhubri,2025-07,1107
Assam,Dhubri,2025-09,3829
Assam,Dhubri,2025-10,1716
Assam,Dhubri,2025-11,1752
Assam,Dhubri,2025-12,1265
Assam,Dibrugarh,2025-03,36
Assam,Dibrugarh,2025-04,514
Assam,Dibrugarh,2025-05,384
Assam,Dibrugarh,2025-06,674
Assam,Dibrugarh,2025-07,2484
Assam,Dibrugarh,2025-09,1010
Assam,Dibrugarh,2025-10,621
Assam,Dibrugarh,2025-11,772
Assam,Dibrugarh,2025-12,391
Assam,Dima Hasao,2025-06,71
Assam,Dima Hasao,2025-07,148
Assam,Dima Hasao,2025-09,13
Assam,Dima Hasao,2025-10,8
Assam,Dima Hasao,2025-11,5
Assam,Dima Hasao,2025-12,3
Assam,Goalpara,2025-04,1164
Assam,Goalpara,2025-05,781
Assam,Goalpara,2025-06,80
Assam,Goalpara,2025-07,2898
Assam,Goalpara,2025-09,2148
Assam,Goalpara,2025-10,902
Assam,Goalpara,2025-11,1003
Assam,Goalpara,2025-12,738
Assam,Golaghat,2025-04,1213
Assam,Golaghat,2025-05,1863
Assam,Golaghat,2025-06,1265
Assam,Golaghat,2025-07,3469
Assam,Golaghat,2025-09,1428
Assam,Golaghat,2025-10,665
Assam,Golaghat,2025-11,905
Assam,Golaghat,2025-12,521
Assam,Hailakandi,2025-04,463
Assam,Hailakandi,2025-07,1016
Assam,Hailakandi,2025-09,1764
Assam,Hailakandi,2025-10,777
Assam,Hailakandi,2025-11,871
Assam,Hailakandi,2025-12,508
Assam,Hojai,2025-03,89
Assam,Hojai,2025-04,1116
Assam,Hojai,2025-06,364
Assam,Hojai,2025-07,2123
Assam,Hojai,2025-09,1454
Assam,Hojai,2025-10,686
Assam,Hojai,2025-11,700
Assam,Hojai,2025-12,408
Assam,Jorhat,2025-04,520
Assam,Jorhat,2025-05,54
Assam,Jorhat,2025-06,56
Assam,Jorhat,2025-07,1371
Assam,Jorhat,2025-09,828
Assam,Jorhat,2025-10,687
Assam,Jorhat,2025-11,828
Assam,Jorhat,2025-12,400
Assam,Kamrup,2025-03,46
Assam,Kamrup,2025-04,1324
Assam,Kamrup,2025-05,1657
Assam,Kamrup,2025-06,207
Assam,Kamrup,2025-07,3804
Assam,Kamrup,2025-09,2500
Assam,Kamrup,2025-10,1428
Assam,Kamrup,2025-11,1368
Assam,Kamrup,2025-12,1078
Assam,Kamrup Metro,2025-04,885
Assam,Kamrup Metro,2025-05,162
Assam,Kamrup Metro,2025-06,174
Assam,Kamrup Metro,2025-07,509
Assam,Kamrup Metro,2025-09,1204
Assam,Kamrup Metro,2025-10,1022
Assam,Kamrup Metro,2025-11,1397
Assam,Kamrup Metro,2025-12,522
Assam,Karbi Anglong,2025-04,1896
Assam,Karbi Anglong,2025-05,2158
Assam,Karbi Anglong,2025-09,1591
Assam,Karbi Anglong,2025-10,761
Assam,Karbi Anglong,2025-11,1085
Assam,Karbi Anglong,2025-12,476
Assam,Karimganj,2025-04,1025
Assam,Karimganj,2025-05,761
Assam,Karimganj,2025-06,627
Assam,Karimganj,2025-07,3171
Assam,Karimganj,2025-09,4009
Assam,Karimganj,2025-10,1431
Assam,Karimganj,2025-11,2102
Assam,Karimganj,2025-12,1473
Assam,Kokrajhar,2025-03,340
Assam,Kokrajhar,2025-04,564
Assam,Kokrajhar,2025-05,518
Assam,Kokrajhar,2025-06,287
Assam,Kokrajhar,2025-07,576
Assam,Kokrajhar,2025-09,766
Assam,Kokrajhar,2025-10,484
Assam,Kokrajhar,2025-11,572
Assam,Kokrajhar,2025-12,413
Assam,Lakhimpur,2025-03,101
Assam,Lakhimpur,2025-04,714
Assam,Lakhimpur,2025-05,747
Assam,Lakhimpur,2025-06,451
Assam,Lakhimpur,2025-07,911
Assam,Lakhimpur,2025-09,1773
Assam,Lakhimpur,2025-10,813
Assam,Lakhimpur,2025-11,783
Assam,Lakhimpur,2025-12,791
Assam,Majuli,2025-07,210
Assam,Majuli,2025-09,165
Assam,Majuli,2025-10,52
Assam,Majuli,2025-11,32
Assam,Majuli,2025-12,52
Assam,Marigaon,2025-03,546
Assam,Marigaon,2025-04,1093
Assam,Marigaon,2025-05,378
Assam,Marigaon,2025-06,780
Assam,Marigaon,2025-07,2506
Assam,Marigaon,2025-09,2205
Assam,Marigaon,2025-10,871
Assam,Marigaon,2025-11,965
Assam,Marigaon,2025-12,938
Assam,Nagaon,2025-03,56
Assam,Nagaon,2025-04,776
Assam,Nagaon,2025-06,156
Assam,Nagaon,2025-07,2420
Assam,Nagaon,2025-09,4246
Assam,Nagaon,2025-10,1730
Assam,Nagaon,2025-11,1790
Assam,Nagaon,2025-12,1415
Assam,Nalbari,2025-04,181
Assam,Nalbari,2025-05,246
Assam,Nalbari,2025-09,1366
Assam,Nalbari,2025-10,780
Assam,Nalbari,2025-11,720
Assam,Nalbari,2025-12,443
Assam,North Cachar Hills,2025-04,408
Assam,North Cachar Hills,2025-05,77
Assam,North Cachar Hills,2025-09,180
Assam,North Cachar Hills,2025-10,146
Assam,North Cachar Hills,2025-11,162
Assam,North Cachar Hills,2025-12,70
Assam,Sibsagar,2025-04,579
Assam,Sibsagar,2025-05,225
Assam,Sibsagar,2025-09,534
Assam,Sibsagar,2025-10,578
Assam,Sibsagar,2025-11,616
Assam,Sibsagar,2025-12,142
Assam,Sivasagar,2025-06,80
Assam,Sivasagar,2025-07,342
Assam,Sonitpur,2025-03,81
Assam,Sonitpur,2025-04,372
Assam,Sonitpur,2025-05,253
Assam,Sonitpur,2025-06,284
Assam,Sonitpur,2025-07,1030
Assam,Sonitpur,2025-09,2258
Assam,Sonitpur,2025-10,1417
Assam,Sonitpur,2025-11,1769
Assam,Sonitpur,2025-12,1460
Assam,South Salmara Mankachar,2025-04,308
Assam,South Salmara Mankachar,2025-09,480
Assam,South Salmara Mankachar,2025-10,249
Assam,South Salmara Mankachar,2025-11,278
Assam,South Salmara Mankachar,2025-12,122
Assam,Sribhumi,2025-09,46
Assam,Sribhumi,2025-10,23
Assam,Sribhumi,2025-11,64
Assam,Sribhumi,2025-12,28
Assam,Tamulpur District,2025-09,15
Assam,Tamulpur District,2025-10,13
Assam,Tamulpur District,2025-11,16
Assam,Tamulpur District,2025-12,10
Assam,Tinsukia,2025-03,355
Assam,Tinsukia,2025-04,991
Assam,Tinsukia,2025-05,600
Assam,Tinsukia,2025-07,2507
Assam,Tinsukia,2025-09,1144
Assam,Tinsukia,2025-10,577
Assam,Tinsukia,2025-11,954
Assam,Tinsukia,2025-12,1066
Assam,Udalguri,2025-03,90
Assam,Udalguri,2025-04,1130
Assam,Udalguri,2025-05,547
Assam,Udalguri,2025-09,880
Assam,Udalguri,2025-10,652
Assam,Udalguri,2025-11,685
Assam,Udalguri,2025-12,456
Assam,West Karbi Anglong,2025-04,483
Assam,West Karbi Anglong,2025-05,266
Assam,West Karbi Anglong,2025-06,295
Assam,West Karbi Anglong,2025-07,382
Assam,West Karbi Anglong,2025-09,179
Assam,West Karbi Anglong,2025-10,86
Assam,West Karbi Anglong,2025-11,131
Assam,West Karbi Anglong,2025-12,50
Bihar,Araria,2025-06,1676
Bihar,Araria,2025-07,288
Bihar,Araria,2025-09,4185
Bihar,Araria,2025-10,3964
Bihar,Araria,2025-11,2495
Bihar,Araria,2025-12,2519
Bihar,Arwal,2025-05,209
Bihar,Arwal,2025-07,505
Bihar,Arwal,2025-09,1081
Bihar,Arwal,2025-10,710
Bihar,Arwal,2025-11,687
Bihar,Arwal,2025-12,557
Bihar,Aurangabad,2025-09,3164
Bihar,Aurangabad,2025-10,2179
Bihar,Aurangabad,2025-11,2687
Bihar,Aurangabad,2025-12,1891
Bihar,Banka,2025-06,975
Bihar,Banka,2025-07,428
Bihar,Banka,2025-09,2796
Bihar,Banka,2025-10,2122
Bihar,Banka,2025-11,2350
Bihar,Banka,2025-12,2022
Bihar,Begusarai,2025-07,762
Bihar,Begusarai,2025-09,3863
Bihar,Begusarai,2025-10,2347
Bihar,Begusarai,2025-11,2759
Bihar,Begusarai,2025-12,2894
Bihar,Bhabua,2025-09,10
Bihar,Bhabua,2025-10,7
Bihar,Bhabua,2025-11,8
Bihar,Bhabua,2025-12,6
Bihar,Bhagalpur,2025-03,71
Bihar,Bhagalpur,2025-04,1238
Bihar,Bhagalpur,2025-05,2948
Bihar,Bhagalpur,2025-06,3850
Bihar,Bhagalpur,2025-07,557
Bihar,Bhagalpur,2025-09,3942
Bihar,Bhagalpur,2025-10,2339
Bihar,Bhagalpur,2025-11,3367
Bihar,Bhagalpur,2025-12,2284
Bihar,Bhojpur,2025-07,823
Bihar,Bhojpur,2025-09,3503
Bihar,Bhojpur,2025-10,2872
Bihar,Bhojpur,2025-11,3143
Bihar,Bhojpur,2025-12,2638
Bihar,Buxar,2025-09,2484
Bihar,Buxar,2025-10,1611
Bihar,Buxar,2025-11,1544
Bihar,Buxar,2025-12,1281
Bihar,Darbhanga,2025-06,448
Bihar,Darbhanga,2025-09,5256
Bihar,Darbhanga,2025-10,3262
Bihar,Darbhanga,2025-11,3607
Bihar,Darbhanga,2025-12,2594
Bihar,East Champaran,2025-04,10761
Bihar,East Champaran,2025-05,9474
Bihar,East Champaran,2025-09,13460
Bihar,East Champaran,2025-10,7526
Bihar,East Champaran,2025-11,9250
Bihar,East Champaran,2025-12,8221
Bihar,Gaya,2025-04,1862
Bihar,Gaya,2025-05,2317
Bihar,Gaya,2025-06,1893
Bihar,Gaya,2025-07,3212
Bihar,Gaya,2025-09,5652
Bihar,Gaya,2025-10,4061
Bihar,Gaya,2025-11,3559
Bihar,Gaya,2025-12,4204
Bihar,Gopalganj,2025-05,907
Bihar,Gopalganj,2025-06,1773
Bihar,Gopalganj,2025-07,2891
Bihar,Gopalganj,2025-09,3056
Bihar,Gopalganj,2025-10,2134
Bihar,Gopalganj,2025-11,2086
Bihar,Gopalganj,2025-12,2001
Bihar,Jamui,2025-04,1692
Bihar,Jamui,2025-05,550
Bihar,Jamui,2025-06,772
Bihar,Jamui,2025-09,2301
Bihar,Jamui,2025-10,1807
Bihar,Jamui,2025-11,1778
Bihar,Jamui,2025-12,1198
Bihar,Jehanabad,2025-04,418
Bihar,Jehanabad,2025-07,256
Bihar,Jehanabad,2025-09,1298
Bihar,Jehanabad,2025-10,1025
Bihar,Jehanabad,2025-11,929
Bihar,Jehanabad,2025-12,784
Bihar,Kaimur (Bhabua),2025-04,357
Bihar,Kaimur (Bhabua),2025-05,937
Bihar,Kaimur (Bhabua),2025-06,711
Bihar,Kaimur (Bhabua),2025-07,694
Bihar,Kaimur (Bhabua),2025-09,2125
Bihar,Kaimur (Bhabua),2025-10,1000
Bihar,Kaimur (Bhabua),2025-11,938
Bihar,Kaimur (Bhabua),2025-12,860
Bihar,Katihar,2025-05,495
Bihar,Katihar,2025-06,985
Bihar,Katihar,2025-09,5361
Bihar,Katihar,2025-10,3299
Bihar,Katihar,2025-11,3018
Bihar,Katihar,2025-12,2589
Bihar,Khagaria,2025-09,3007
Bihar,Khagaria,2025-10,1495
Bihar,Khagaria,2025-11,1558
Bihar,Khagaria,2025-12,1827
Bihar,Kishanganj,2025-09,3035
Bihar,Kishanganj,2025-10,2259
Bihar,Kishanganj,2025-11,1615
Bihar,Kishanganj,2025-12,1321
Bihar,Lakhisarai,2025-06,786
Bihar,Lakhisarai,2025-07,1608
Bihar,Lakhisarai,2025-09,1151
Bihar,Lakhisarai,2025-10,546
Bihar,Lakhisarai,2025-11,1163
Bihar,Lakhisarai,2025-12,777
Bihar,Madhepura,2025-09,2868
Bihar,Madhepura,2025-10,1854
Bihar,Madhepura,2025-11,1729
Bihar,Madhepura,2025-12,2183
Bihar,Madhubani,2025-03,330
Bihar,Madhubani,2025-04,933
Bihar,Madhubani,2025-05,1971
Bihar,Madhubani,2025-06,2425
